level_0,level_1,pi_d,tau_d,signedness_d,stability_mag_d,w_signed_d
Amygdala_R,Frontal_Sup_2_L,0.8,1.0,1.0,0.8,0.8
Fusiform_R,Thal_VL_L,0.6,1.0,-1.0,0.6,-0.6
Cerebelum_9_L,Frontal_Inf_Tri_R,0.6,1.0,1.0,0.6,0.6
Cerebellum_10_R,Frontal_Inf_Tri_L,0.6,1.0,1.0,0.6,0.6
Calcarine_L,Insula_R,0.6,1.0,-1.0,0.6,-0.6
Angular_L,Olfactory_R,0.6,1.0,-1.0,0.6,-0.6
Rectus_L,Temporal_Inf_L,0.6,1.0,1.0,0.6,0.6
Cerebelum_9_L,Lingual_L,0.6,1.0,1.0,0.6,0.6
Cerebelum_9_L,Occipital_Inf_L,0.6,1.0,1.0,0.6,0.6
ParaHippocampal_R,Temporal_Inf_L,0.6,1.0,1.0,0.6,0.6
Cerebelum_6_R,Cerebelum_8_R,0.6,1.0,-1.0,0.6,-0.6
Cerebelum_9_L,Hippocampus_L,0.6,1.0,1.0,0.6,0.6
Cerebelum_8_R,Cerebelum_9_L,0.6,1.0,1.0,0.6,0.6
Frontal_Mid_2_R,ParaHippocampal_R,0.6,1.0,1.0,0.6,0.6
Cerebellum_10_R,Cerebelum_7b_L,0.6,1.0,1.0,0.6,0.6
Frontal_Med_Orb_R,ParaHippocampal_R,0.6,0.6,0.6,0.36000001430511475,0.36000001430511475
Cerebelum_9_L,OFCpost_R,0.6,0.6,0.6,0.36000001430511475,0.36000001430511475
OFCpost_R,Rectus_L,0.6,0.6,0.6,0.36000001430511475,0.36000001430511475
Cerebelum_9_L,OFCant_L,0.6,0.6,0.6,0.36000001430511475,0.36000001430511475
ACC_sup_R,ParaHippocampal_R,0.6,0.6,0.6,0.36000001430511475,0.36000001430511475
Olfactory_L,Paracentral_Lobule_R,0.6,0.6,-0.6,0.36000001430511475,-0.36000001430511475
Cerebelum_9_L,Frontal_Sup_Medial_L,0.6,0.6,0.6,0.36000001430511475,0.36000001430511475
Lingual_R,Olfactory_R,0.6,0.6,-0.6,0.36000001430511475,-0.36000001430511475
Cerebelum_8_R,Olfactory_L,0.6,0.6,-0.6,0.36000001430511475,-0.36000001430511475
ACC_sup_L,Cerebelum_9_L,0.6,0.6,0.6,0.36000001430511475,0.36000001430511475
